Guinea,06-05-2020,7369,1856,25.19
Hungary,11-05-2020,112165,3284,2.93
Iceland,09-05-2020,53260,1801,3.38
India,11-05-2020,1673688,67152,4.01
Indonesia,10-05-2020,108699,13645,12.55
Iran,05-05-2020,519543,99970,19.24
Iraq,07-05-2020,120604,2543,2.11
Ireland,04-05-2020,214761,21983,10.24
Israel,11-05-2020,461704,16492,3.57
Italy,09-05-2020,2514234,218268,8.68
Ivory Coast,10-05-2020,11278,1700,15.07
Jamaica,03-05-2020,5633,469,8.33
Japan,11-05-2020,218204,15798,7.24
Kazakhstan,06-05-2020,336480,4298,1.28
Kenya,10-05-2020,32097,672,2.09
Kosovo,09-05-2020,9734,870,8.94
Kyrgyzstan,05-05-2020,58030,843,1.45
Latvia,10-05-2020,76592,939,1.23
Lebanon,08-05-2020,48673,796,1.64
Lithuania,11-05-2020,186565,1485,0.8
Luxembourg,10-05-2020,55250,3886,7.03
Malawi,05-05-2020,961,41,4.27
Malaysia,10-05-2020,256937,6656,2.59
Malta,10-05-2020,42619,496,1.16
Mexico,10-05-2020,110977,35022,31.56
Montenegro,05-05-2020,8534,324,3.8
Morocco,11-05-2020,67741,6226,9.19
Mozambique,10-05-2020,3923,91,2.32
Myanmar,06-05-2020,9980,161,1.61
Nepal,06-05-2020,67066,99,0.15
Netherlands,05-05-2020,243277,41319,16.98
New Zealand,10-05-2020,190326,1144,0.6
Nigeria,11-05-2020,23835,4399,18.46
North Korea,17-04-2020,740,0,0
North Macedonia,05-05-2020,17544,1526,8.7
Norway,11-05-2020,202751,8106,4
Pakistan,09-05-2020,283517,29465,10.39
Palestine,07-05-2020,34511,547,1.59
Panama,06-05-2020,38014,7731,20.34
Paraguay,07-05-2020,13096,462,3.53
Peru,10-05-2020,504930,67307,13.33
Philippines,10-05-2020,173144,10794,6.23
Poland,11-05-2020,491216,16206,3.3
Portugal,09-05-2020,517660,27406,5.29
Qatar,10-05-2020,127769,22520,17.63
Romania,06-05-2020,217139,14107,6.5
Russia,11-05-2020,5636763,221344,3.93
Rwanda,07-05-2020,38834,271,0.7
Saudi Arabia,08-05-2020,418722,35432,8.46
Senegal,09-05-2020,20217,1709,8.45
Serbia,10-05-2020,140592,10114,7.19
Singapore,04-05-2020,175604,18778,10.69
Slovakia,10-05-2020,119859,1457,1.22
Slovenia,08-05-2020,63571,1463,2.3
South Africa,09-05-2020,324079,9420,2.91
South Korea,08-05-2020,645996,10822,1.68
Spain,07-05-2020,2467761,222857,9.03
Sudan,09-05-2020,1747,1164,66.63
Sweden,03-05-2020,148423,22455,15.13
Switzerland[b],09-05-2020,306223,30251,9.88
Taiwan[c],12-05-2020,67758,440,0.65
Tanzania,29-04-2020,652,480,73.62
Thailand,07-05-2020,89791,2992,3.33
Trinidad and Tobago,09-05-2020,2271,116,5.11
Tunisia,09-05-2020,32818,1032,3.14
Turkey,09-05-2020,1334411,137115,10.28
Uganda,09-05-2020,56767,116,0.2
Ukraine,09-05-2020,167107,14710,8.8
United Arab Emirates,09-05-2020,1433195,17417,1.22
United Kingdom,11-05-2020,1921770,223060,11.61
United States,10-05-2020,8987524,1322807,14.72
Uruguay,09-05-2020,27461,702,2.56
Uzbekistan,07-05-2020,371000,2298,0.62
Venezuela,06-05-2020,495730,379,0.08
Vietnam,10-05-2020,261004,288,0.11
Zimbabwe,10-05-2020,8244,34,0.41
Albania,05-05-2020,9266,820,8.85
Argentina,06-05-2020,72315,5020,6.94
Armenia,05-05-2020,25846,2619,10.13
Australia,06-05-2020,688656,6875,1
Austria,07-05-2020,297894,15665,5.26
Azerbaijan,05-05-2020,164481,2060,1.25
Bahrain,07-05-2020,164517,4131,2.51
Bangladesh,05-05-2020,92722,10929,11.79
Barbados,05-05-2020,2549,82,3.22
Belarus,05-05-2020,211369,18350,8.68
Belgium,03-05-2020,270857,50267,18.56
Bolivia,05-05-2020,8611,1681,19.52
Bosnia and Herzegovina,07-05-2020,38183,2036,5.33
Brazil,01-05-2020,735224,92109,12.53
Bulgaria,06-05-2020,52931,1811,3.42
Burkina Faso,05-05-2020,1333,672,50.41
Cameroon,05-05-2020,9254,2104,22.74
Canada,06-05-2020,1001958,63895,6.38
Chile,02-05-2020,199400,18435,9.25
Colombia,01-05-2020,108950,7006,6.43
Costa Rica,02-05-2020,13632,733,5.38
Croatia,04-05-2020,39040,2101,5.38
Cuba,03-05-2020,55542,1668,3
Cyprus,07-05-2020,69037,883,1.28
Czechia,06-05-2020,286821,7979,2.78
Denmark,07-05-2020,294083,10281,3.5
DR Congo,05-05-2020,2256,705,31.25
Ecuador,06-05-2020,81392,29420,36.15
Egypt,05-05-2020,90000,6813,7.57
El Salvador,04-05-2020,32030,587,1.83
Estonia,07-05-2020,60530,1720,2.84
Ethiopia,07-05-2020,28360,187,0.66
Finland,06-05-2020,111983,5673,5.07
France,26-04-2020,724574,143940,19.87
Germany,04-05-2020,2755770,164807,5.98
Ghana,07-05-2020,137924,3091,2.24
Greece,01-05-2020,77251,3746,4.85
Grenada,05-05-2020,1781,21,1.18
Guinea,06-05-2020,7369,1856,25.19
Hungary,07-05-2020,94036,3150,3.35
Iceland,06-05-2020,51663,1799,3.48
India,07-05-2020,1357413,52952,3.9
Indonesia,06-05-2020,92976,12438,13.38
Iran,05-05-2020,519543,99970,19.24
Ireland,04-05-2020,214761,21983,10.24
Israel,07-05-2020,432453,16346,3.78
Italy,06-05-2020,2310929,214457,9.28
Ivory Coast,05-05-2020,8292,1432,17.27
Jamaica,03-05-2020,5633,469,8.33
Japan,06-05-2020,188927,15354,8.13
Kazakhstan,06-05-2020,336480,4298,1.28
Kenya,05-05-2020,24997,490,1.96
Kosovo,04-05-2020,8541,855,10.01
Kyrgyzstan,05-05-2020,58030,843,1.45
Latvia,06-05-2020,68627,900,1.31
Lithuania,07-05-2020,164088,1433,0.87
Luxembourg,07-05-2020,51883,3859,7.44
Malawi,05-05-2020,961,41,4.27
Malaysia,05-05-2020,213220,6383,2.99
Malta,05-05-2020,36945,482,1.3
Mexico,05-05-2020,89565,26025,29.06
Montenegro,05-05-2020,8534,324,3.8
Morocco,06-05-2020,52100,5382,10.33
Mozambique,05-05-2020,3041,81,2.66
Myanmar,06-05-2020,9980,161,1.61
Nepal,06-05-2020,67066,99,0.15
Netherlands,05-05-2020,243277,41319,16.98
New Zealand,08-05-2020,175835,1141,0.65
Nigeria,06-05-2020,21208,2950,13.91
North Korea,17-04-2020,740,0,0
North Macedonia,05-05-2020,17544,1526,8.7
Norway,07-05-2020,191946,7995,4.17
Pakistan,06-05-2020,244778,24073,9.83
Palestine,07-05-2020,34511,547,1.59
Panama,06-05-2020,38014,7731,20.34
Paraguay,07-05-2020,13096,462,3.53
Peru,07-05-2020,448020,58526,13.06
Philippines,05-05-2020,140134,9684,6.91
Poland,07-05-2020,425994,14898,3.5
Portugal,07-05-2020,485925,26715,5.5
Qatar,04-05-2020,106795,16191,15.16
Romania,06-05-2020,217139,14107,6.5
Russia,06-05-2020,4803192,177160,3.69
Rwanda,07-05-2020,38834,271,0.7
Saudi Arabia,07-05-2020,405685,33731,8.31
Serbia,05-05-2020,111278,9677,8.7
Singapore,04-05-2020,123525,18778,15.2
Slovakia,06-05-2020,109767,1445,1.32
Slovenia,04-05-2020,58842,1455,2.47
South Africa,07-05-2020,279379,7808,2.79
South Korea,07-05-2020,640959,10810,1.69
Spain,30-04-2020,1932455,239369,12.39
Sweden,05-05-2020,148500,23216,15.63
Switzerland,03-05-2020,280220,29905,10.67
Taiwan[a],08-05-2020,66460,440,0.66
Tanzania,29-04-2020,652,480,73.62
Thailand,02-05-2020,72745,2966,4.08
Trinidad and Tobago,27-04-2020,1532,116,7.57
Tunisia,06-05-2020,25165,1022,4.06
Turkey,06-05-2020,1234724,131744,10.67
Uganda,05-05-2020,41478,97,0.23
Ukraine,07-05-2020,151569,13691,9.03
United Arab Emirates,02-05-2020,1200000,14163,1.18
United Kingdom,07-05-2020,1534533,206715,13.47
United States,07-05-2020,8108684,1248137,15.39
Uruguay,01-05-2020,21939,747,3.4
Venezuela,06-05-2020,495730,379,0.08
Vietnam,07-05-2020,261004,271,0.1
Zimbabwe,07-05-2020,8244,34,0.41
Albania,26-04-2020,7279,726,9.97
Argentina,20-04-2020,36611,3031,8.28
Armenia,25-04-2020,17342,1677,9.67
Australia,24-04-2020,482420,6676,1.38
Austria,26-04-2020,227631,15140,6.65
Azerbaijan,24-04-2020,120479,1617,1.34
Bahrain,24-04-2020,107273,2510,2.34
Bangladesh,25-04-2020,42812,4998,11.67
Barbados,23-04-2020,1222,76,6.22
Belarus,25-04-2020,139295,9590,6.88
Belgium,25-04-2020,197463,45325,22.95
Bolivia,24-04-2020,5425,807,14.88
Bosnia and Herzegovina,24-04-2020,22768,1417,6.22
Brazil,20-04-2020,524536,40581,7.74
Bulgaria,22-04-2020,27000,1290,4.78
Canada,25-04-2020,660108,43877,6.65
Chile,24-04-2020,142267,12306,8.65
Colombia,19-04-2020,71500,4356,6.09
Costa Rica,25-04-2020,12467,693,5.56
Croatia,25-04-2020,30913,2016,6.52
Czechia,24-04-2020,210705,7273,3.45
Denmark,25-04-2020,144586,8634,5.97
Ecuador,23-04-2020,34420,11183,32.49
Egypt,17-04-2020,55000,2844,5.17
Estonia,24-04-2020,46281,1605,3.47
Finland,25-04-2020,77779,4475,5.75
France,19-04-2020,457287,102358,22.38
Germany,21-04-2020,2072669,155773,7.52
Greece,24-04-2020,61407,3459,5.63
Grenada,16-04-2020,92,14,15.22
Hungary,24-04-2020,58251,2383,4.09
Iceland,25-04-2020,45971,1790,3.89
India,26-04-2020,625309,26496,4.24
Indonesia,25-04-2020,52541,8607,16.38
Iran,25-04-2020,410075,89328,21.78
Ireland,20-04-2020,111584,16040,14.37
Israel,25-04-2020,323160,15235,4.71
Italy,25-04-2020,1707743,195351,11.44
Jamaica,17-04-2020,1516,163,10.75
Japan,25-04-2020,147454,12829,8.7
Kazakhstan,20-04-2020,102859,1775,1.73
Kosovo,25-04-2020,6182,731,11.82
Kyrgyzstan,25-04-2020,44127,665,1.51
Latvia,25-04-2020,45743,804,1.76
Lithuania,26-04-2020,104488,1438,1.38
Luxembourg,24-04-2020,37782,3695,9.78
Malaysia,26-04-2020,131491,5780,4.4
Malta,19-04-2020,24042,427,1.78
Mexico,25-04-2020,62334,12872,20.65
Montenegro,25-04-2020,6665,319,4.79
Nepal,25-04-2020,49336,49,0.1
Netherlands,25-04-2020,188214,37190,19.76
New Zealand,26-04-2020,120981,1121,0.93
Nigeria,24-04-2020,10061,981,9.75
North Korea,22-04-2020,740,0,0
North Macedonia,19-04-2020,11870,1207,10.17
Norway,23-04-2020,155125,7408,4.78
Pakistan,20-04-2020,111886,9216,8.24
Palestine,24-04-2020,27800,484,1.74
Panama,25-04-2020,24304,5338,21.96
Peru,25-04-2020,218195,25331,11.61
Philippines,24-04-2020,81292,7192,8.85
Poland,25-04-2020,278994,11067,3.97
Portugal,23-04-2020,300525,22353,7.44
Romania,26-04-2020,136518,11036,8.08
Russia,25-04-2020,2877699,80949,2.81
Serbia,20-04-2020,41812,6630,15.86
Singapore,20-04-2020,82644,8014,9.7
Slovakia,25-04-2020,70928,1379,1.94
Slovenia,20-04-2020,42976,1355,3.15
South Africa,25-04-2020,161004,4361,2.71
South Korea,25-04-2020,595161,10718,1.8
Spain,13-04-2020,930230,169496,18.22
Sweden,21-04-2020,94500,15322,16.21
Switzerland,22-04-2020,230946,28268,12.24
Taiwan[a],26-04-2020,60459,429,0.71
Thailand,24-04-2020,50390,2854,5.66
Trinidad and Tobago,25-04-2020,1501,115,7.66
Turkey,25-04-2020,868565,107773,12.41
Ukraine,26-04-2020,89373,8617,9.64
United Arab Emirates,23-04-2020,898000,8756,0.98
United Kingdom[b],25-04-2020,640792,148377,23.16
United States,25-04-2020,5189950,931698,17.95
Uruguay,24-04-2020,15834,636,4.02
Venezuela[c],24-04-2020,394125,318,0.08
Vietnam,26-04-2020,212142,270,0.13
Argentina,27-03-2020,2847,589,20.69
Armenia,25-03-2020,1580,265,16.77
Australia,31-03-2020,245623,4559,1.86
Austria,29-03-2020,46441,8536,18.38
Azerbaijan,30-03-2020,30000,273,0.91
